		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010010    4    2    5    2    1    1    1    1  7.456013 0.488323 SUCCESS 126
111010100    2    2    3    1    0    5    4    2  7.581789 0.475349 SUCCESS 127
111010110    1    3    0    3    2    2    2    4  4.914011 0.766726 SUCCESS 128
111011000    2    4    2    2    0    6    0    2 11.755572 0.162447 SUCCESS 129
111011010    2    1    0    5    2    3    4    1  8.366235 0.398537 SUCCESS 130
111011100    3    2    2    4    3    5    4    3  5.480003 0.705254 SUCCESS 131
111100000    4    3    2    4    1    3    3    1  4.318229 0.827331 SUCCESS 132
111100010    1    2    5    1    3    4    1    3  6.797343 0.558648 SUCCESS 133
111100100    2    2    5    4    0    5    2    1 10.249568 0.247945 SUCCESS 134
111100110    3    3    3    1    2    5    2    1  5.102675 0.746548 SUCCESS 135
111101000    4    1    2    4    0    0    2    2  8.177571 0.416320 SUCCESS 136
111101010    6    3    1    2    2    3    3    2  6.923119 0.544950 SUCCESS 137
111101100    1    4    2    1    6    6    3    4 14.863567 0.061853 SUCCESS 138
111101110    2    2    2    3    4    4    2    2  2.623560 0.955720 SUCCESS 139
111110000    1    0    1    2    1    3    5    2  8.177571 0.416320 SUCCESS 140
111110010    4    3    4    4    3    2    1    0  6.860231 0.551785 SUCCESS 141
111110100    3    1    0    2    2    1    3    2  4.725346 0.786488 SUCCESS 142
111110110    1    3    0    3    6    7    2    2 18.064239 0.020750 SUCCESS 143
111111000    2    0    2    3    2    1    4    4  5.824233 0.666913 SUCCESS 144
111111010    2    1    2    2    0    1    5    1  8.114683 0.422349 SUCCESS 145
111111100    5    1    3    3    2    1    4    2  6.012897 0.645787 SUCCESS 146
111111110    2    1    2    3    3    3    3    1  2.434896 0.964698 SUCCESS 147

